Implementation,Function,Size,Processes,AvgTime
MPI,checkSym,512,8,0.001582170
MPI,checkSym,512,16,0.001752677
MPI,checkSym,512,32,0.001546578
MPI,checkSym,512,64,0.001591048
MPI,checkSym,1024,2,0.009722586
MPI,checkSym,1024,4,0.008783875
MPI,checkSym,1024,8,0.007486706
MPI,checkSym,1024,16,0.006951246
MPI,checkSym,1024,32,0.006974182
MPI,checkSym,1024,64,0.006331434
MPI,checkSym,2048,2,0.040152078
MPI,checkSym,2048,4,0.034773788
MPI,checkSym,2048,8,0.038758702
MPI,checkSym,2048,16,0.038795242
MPI,checkSym,2048,32,0.034561734
MPI,checkSym,2048,64,0.038204770
MPI,checkSym,4096,2,0.277732315
MPI,checkSym,4096,4,0.262763023
MPI,checkSym,4096,8,0.256288290
MPI,checkSym,4096,16,0.244264503
MPI,checkSym,4096,32,0.259875050
MPI,checkSym,4096,64,0.268302865
